method,primary_mean,primary_std,auc_mean,auc_std
Raw,0.6109570450190587,0.04527383538070234,0.6591811434489463,0.05280314873136683
Filter (1–50 Hz),0.5813341457400127,0.05392879899614884,0.6309024057246887,0.06397730980547568
ICA,0.5758325220100492,0.02974073561075623,0.6059105967173541,0.036526915561382184
ASR (k=5),0.5707396773047697,0.032699962980823775,0.6132804718556968,0.04789834051947444
ASR (k=20),0.5978612518709537,0.04630957568996356,0.6444398021538458,0.05745970083577251
IC-U-Net,0.5056898776420342,0.006895484476024152,0.5086669876312604,0.010722407772145887
