method,primary_mean,primary_std,auc_mean,auc_std
Raw,0.8500163469921534,0.04793589475455019,0.918744900175508,0.03867864708522614
Filter (1–50 Hz),0.8486513731473408,0.04539335919723683,0.919839803039885,0.036587596274632504
ICA,0.8126253269398431,0.07729804779839598,0.8852145909707976,0.06685863693598595
ASR,0.7915377070619006,0.08764424712598189,0.8661102244283826,0.07864577552935777
IC-U-Net,0.691485941586748,0.06587390900103132,0.79142508573976,0.05782363181601114
