method,primary_mean,primary_std,auc_mean,auc_std
Raw,0.6084957080771104,0.048169621447934054,0.6554202852069572,0.05364901105990266
Filter (1–50 Hz),0.5792735016747893,0.05596293508474958,0.6263035447156381,0.06926941710831927
ICA,0.5718278028449821,0.034885243126644636,0.6024806991380507,0.04273820608231556
ASR,0.5708197524490675,0.03546277115920506,0.6130205565869945,0.052961718918266856
IC-U-Net,0.531636085388045,0.022632242830285886,0.5478312846328276,0.03167131371428831
