task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
attention_state,asr,eegnet,0.6568888888888889,0.08932929527219591,0.8257064380787037,0.07146282369123422,0.6568888888888889,0.6568888888888889,0.6709207653434027,0.6568888888888889
attention_state,asr,lightgbm,0.4812777777777778,0.033201289391888864,0.7086474016203704,0.028712482301672483,0.4812777777777777,0.4812777777777778,0.5180814184759741,0.4812777777777778
attention_state,asr,logistic_regression,0.4194583333333333,0.036852509358083825,0.616372259837963,0.04230860159740668,0.4194583333333333,0.4194583333333333,0.43718711767152596,0.4194583333333333
attention_state,asr,mlp,0.4221111111111111,0.0451286655089344,0.6210795240162037,0.04919997320113926,0.4221111111111111,0.4221111111111111,0.43730474997513136,0.4221111111111111
attention_state,asr,mobilenet,0.5604583333333333,0.06886135902649114,0.7623986834490741,0.06943145054203224,0.5604583333333333,0.5604583333333333,0.6164473164767572,0.5604583333333333
attention_state,asr,random_forest,0.4566111111111111,0.03709062558346567,0.6733703125,0.048899228815869465,0.4566111111111111,0.4566111111111111,0.47356631253000064,0.4566111111111111
attention_state,asr,svm,0.42548611111111106,0.03634657474054977,0.6177885865162037,0.040623984350389636,0.42548611111111106,0.42548611111111106,0.44322381077790035,0.42548611111111106
attention_state,asr,vit,0.6292500000000001,0.07949243888261433,0.8075469516782408,0.06403747879929156,0.6292500000000001,0.6292500000000001,0.640787554552577,0.6292500000000001
attention_state,asr20,eegnet,0.6598194444444444,0.07835835027040042,0.8317097251157408,0.06526739573357092,0.6598194444444444,0.6598194444444444,0.6782531653567624,0.6598194444444444
attention_state,asr20,lightgbm,0.4934722222222222,0.02697421036270308,0.7140967013888888,0.03131513587231465,0.4934722222222222,0.4934722222222222,0.5168232901291686,0.4934722222222222
attention_state,asr20,logistic_regression,0.43631944444444437,0.04328791467717941,0.6212191044560186,0.05993080820895807,0.43631944444444437,0.43631944444444437,0.43673864062405654,0.43631944444444437
attention_state,asr20,mlp,0.43547222222222215,0.0459177757478477,0.6321160300925925,0.059162992155904585,0.43547222222222215,0.43547222222222215,0.4416603999322488,0.43547222222222215
attention_state,asr20,mobilenet,0.5658611111111111,0.04658660460255782,0.7603347482638889,0.05647405273506988,0.5658611111111111,0.5658611111111111,0.6061887944963347,0.5658611111111111
attention_state,asr20,random_forest,0.46019444444444446,0.03546598962038261,0.6689647280092592,0.053844317367057096,0.46019444444444446,0.46019444444444446,0.47979254805277244,0.46019444444444446
attention_state,asr20,svm,0.4407361111111111,0.0473285180290611,0.6245824117476853,0.055889864705292266,0.4407361111111111,0.4407361111111111,0.441393814839221,0.4407361111111111
attention_state,asr20,vit,0.6260416666666666,0.07946571806271069,0.8123607826967593,0.06459618822343095,0.6260416666666667,0.6260416666666666,0.640656531962901,0.6260416666666666
