task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr,lightgbm,8,149869551,accuracy,0.4677777777777778,0.4677777777777778,0.4677777777777778,0.48556997260994034,0.4677777777777778,0.711300462962963
attention_state,asr,lightgbm,9,2044435244,accuracy,0.42430555555555555,0.42430555555555555,0.42430555555555555,0.550517192946575,0.42430555555555555,0.6961906828703704
attention_state,asr,lightgbm,10,1786428360,accuracy,0.5020833333333333,0.5020833333333333,0.5020833333333333,0.5077302862237917,0.5020833333333333,0.7048560474537037
attention_state,asr,logistic_regression,1,2013945970,accuracy,0.3838888888888889,0.3838888888888889,0.3838888888888889,0.3764897540688996,0.3838888888888889,0.5544375
attention_state,asr,logistic_regression,2,61155527,accuracy,0.465,0.465,0.465,0.4787778769885756,0.465,0.6660715277777779
attention_state,asr,logistic_regression,3,1072713694,accuracy,0.4494444444444444,0.4494444444444444,0.44944444444444437,0.43996196210373917,0.44944444444444437,0.6620356481481481
attention_state,asr,logistic_regression,4,2111243235,accuracy,0.3701388888888889,0.3701388888888889,0.37013888888888885,0.4669474948030068,0.37013888888888885,0.5985069444444444
attention_state,asr,logistic_regression,5,1626406676,accuracy,0.42777777777777776,0.42777777777777776,0.42777777777777776,0.42269758038925803,0.42777777777777776,0.6007964409722222
attention_state,asr,logistic_regression,6,126691620,accuracy,0.38222222222222224,0.38222222222222224,0.3822222222222222,0.37449731787959023,0.3822222222222222,0.5545210648148148
attention_state,asr,logistic_regression,7,28155425,accuracy,0.465,0.465,0.465,0.4787778769885756,0.465,0.6661106481481481
attention_state,asr,logistic_regression,8,149869551,accuracy,0.45111111111111113,0.45111111111111113,0.4511111111111111,0.4420164775340507,0.4511111111111111,0.662018287037037
attention_state,asr,logistic_regression,9,2044435244,accuracy,0.3715277777777778,0.3715277777777778,0.37152777777777773,0.4680330128770107,0.37152777777777773,0.5984957320601852
attention_state,asr,logistic_regression,10,1786428360,accuracy,0.4284722222222222,0.4284722222222222,0.4284722222222222,0.42367182308255397,0.4284722222222222,0.6007288049768519
attention_state,asr,mlp,1,2013945970,accuracy,0.34944444444444445,0.34944444444444445,0.34944444444444445,0.3359092726175061,0.34944444444444445,0.518775462962963
attention_state,asr,mlp,2,61155527,accuracy,0.4211111111111111,0.4211111111111111,0.42111111111111116,0.43988960011333017,0.42111111111111116,0.647176388888889
attention_state,asr,mlp,3,1072713694,accuracy,0.48944444444444446,0.48944444444444446,0.4894444444444444,0.4723446847642047,0.4894444444444444,0.678823148148148
attention_state,asr,mlp,4,2111243235,accuracy,0.3861111111111111,0.3861111111111111,0.38611111111111107,0.48309033209929214,0.38611111111111107,0.5981221064814816
attention_state,asr,mlp,5,1626406676,accuracy,0.43819444444444444,0.43819444444444444,0.4381944444444445,0.4271176903123637,0.4381944444444445,0.6380504918981481
attention_state,asr,mlp,6,126691620,accuracy,0.37833333333333335,0.37833333333333335,0.37833333333333335,0.3606124195898526,0.37833333333333335,0.5553141203703704
attention_state,asr,mlp,7,28155425,accuracy,0.43277777777777776,0.43277777777777776,0.43277777777777776,0.46330210890329265,0.43277777777777776,0.6601013888888889
attention_state,asr,mlp,8,149869551,accuracy,0.5027777777777778,0.5027777777777778,0.5027777777777778,0.4976593834074415,0.5027777777777778,0.6750090277777779
attention_state,asr,mlp,9,2044435244,accuracy,0.40069444444444446,0.40069444444444446,0.40069444444444446,0.49220088698443826,0.40069444444444446,0.6110543258101852
attention_state,asr,mlp,10,1786428360,accuracy,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.40092112095959237,0.4222222222222222,0.6283687789351853
attention_state,asr,mobilenet,1,2013945970,accuracy,0.4711111111111111,0.4711111111111111,0.4711111111111111,0.5155909116895501,0.4711111111111111,0.6944430555555555
attention_state,asr,mobilenet,2,61155527,accuracy,0.5955555555555555,0.5955555555555555,0.5955555555555555,0.6309990058181979,0.5955555555555555,0.7984652777777779
attention_state,asr,mobilenet,3,1072713694,accuracy,0.4438888888888889,0.4438888888888889,0.44388888888888883,0.5860562397008481,0.44388888888888883,0.6360458333333333
attention_state,asr,mobilenet,4,2111243235,accuracy,0.6236111111111111,0.6236111111111111,0.6236111111111111,0.6371087558795331,0.6236111111111111,0.8152777777777778
attention_state,asr,mobilenet,5,1626406676,accuracy,0.58125,0.58125,0.5812499999999999,0.6815301076249849,0.5812499999999999,0.7944155092592592
attention_state,asr,mobilenet,6,126691620,accuracy,0.5022222222222222,0.5022222222222222,0.5022222222222222,0.5043843707422074,0.5022222222222222,0.6902719907407407
attention_state,asr,mobilenet,7,28155425,accuracy,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.6226066271223396,0.6266666666666667,0.8221041666666666
attention_state,asr,mobilenet,8,149869551,accuracy,0.5255555555555556,0.5255555555555556,0.5255555555555556,0.603833382631414,0.5255555555555556,0.7046060185185185
attention_state,asr,mobilenet,9,2044435244,accuracy,0.6659722222222222,0.6659722222222222,0.6659722222222223,0.6664848507757976,0.6659722222222223,0.8274529803240741
attention_state,asr,mobilenet,10,1786428360,accuracy,0.56875,0.56875,0.56875,0.7158789127826998,0.56875,0.8409042245370371
attention_state,asr,random_forest,1,2013945970,accuracy,0.48777777777777775,0.48777777777777775,0.4877777777777778,0.49054352825276376,0.4877777777777778,0.6338585648148148
attention_state,asr,random_forest,2,61155527,accuracy,0.4766666666666667,0.4766666666666667,0.4766666666666666,0.4709407297644068,0.4766666666666666,0.7211101851851852
attention_state,asr,random_forest,3,1072713694,accuracy,0.4922222222222222,0.4922222222222222,0.49222222222222217,0.49439285673277755,0.49222222222222217,0.742005787037037
attention_state,asr,random_forest,4,2111243235,accuracy,0.39791666666666664,0.39791666666666664,0.3979166666666667,0.4970262315897922,0.3979166666666667,0.6199291087962963
attention_state,asr,random_forest,5,1626406676,accuracy,0.4284722222222222,0.4284722222222222,0.4284722222222222,0.41492821631026305,0.4284722222222222,0.6499479166666667
attention_state,asr,random_forest,6,126691620,accuracy,0.48777777777777775,0.48777777777777775,0.4877777777777778,0.49054352825276376,0.4877777777777778,0.6338585648148148
attention_state,asr,random_forest,7,28155425,accuracy,0.4766666666666667,0.4766666666666667,0.4766666666666666,0.4709407297644068,0.4766666666666666,0.7211101851851852
attention_state,asr,random_forest,8,149869551,accuracy,0.4922222222222222,0.4922222222222222,0.49222222222222217,0.49439285673277755,0.49222222222222217,0.742005787037037
attention_state,asr,random_forest,9,2044435244,accuracy,0.39791666666666664,0.39791666666666664,0.3979166666666667,0.4970262315897922,0.3979166666666667,0.6199291087962963
attention_state,asr,random_forest,10,1786428360,accuracy,0.4284722222222222,0.4284722222222222,0.4284722222222222,0.41492821631026305,0.4284722222222222,0.6499479166666667
attention_state,asr,svm,1,2013945970,accuracy,0.38666666666666666,0.38666666666666666,0.38666666666666666,0.37799976730657353,0.38666666666666666,0.5598159722222222
attention_state,asr,svm,2,61155527,accuracy,0.4661111111111111,0.4661111111111111,0.4661111111111111,0.4805652451478856,0.4661111111111111,0.6622597222222223
attention_state,asr,svm,3,1072713694,accuracy,0.4666666666666667,0.4666666666666667,0.4666666666666666,0.4626872737000727,0.4666666666666666,0.664098148148148
attention_state,asr,svm,4,2111243235,accuracy,0.38680555555555557,0.38680555555555557,0.3868055555555556,0.4767597583722641,0.3868055555555556,0.5932139756944445
attention_state,asr,svm,5,1626406676,accuracy,0.42430555555555555,0.42430555555555555,0.42430555555555555,0.41668032874772276,0.42430555555555555,0.610238353587963
attention_state,asr,svm,6,126691620,accuracy,0.3861111111111111,0.3861111111111111,0.38611111111111107,0.37815259100040177,0.38611111111111107,0.5587604166666668
attention_state,asr,svm,7,28155425,accuracy,0.4638888888888889,0.4638888888888889,0.46388888888888885,0.4779141048419871,0.46388888888888885,0.6617465277777778
attention_state,asr,svm,8,149869551,accuracy,0.46944444444444444,0.46944444444444444,0.4694444444444445,0.4666500155782118,0.4694444444444445,0.6654155092592592
attention_state,asr,svm,9,2044435244,accuracy,0.3819444444444444,0.3819444444444444,0.3819444444444444,0.4796390616413109,0.3819444444444444,0.5933684172453704
attention_state,asr,svm,10,1786428360,accuracy,0.42291666666666666,0.42291666666666666,0.42291666666666666,0.41518996144257336,0.42291666666666666,0.6089688223379629
attention_state,asr,vit,1,2013945970,accuracy,0.5588888888888889,0.5588888888888889,0.5588888888888889,0.5633653524493085,0.5588888888888889,0.7577583333333333
attention_state,asr,vit,2,61155527,accuracy,0.635,0.635,0.6350000000000001,0.6658516983327004,0.6350000000000001,0.8200791666666666
attention_state,asr,vit,3,1072713694,accuracy,0.5072222222222222,0.5072222222222222,0.5072222222222222,0.5542961997306892,0.5072222222222222,0.7041629629629629
attention_state,asr,vit,4,2111243235,accuracy,0.7534722222222222,0.7534722222222222,0.7534722222222222,0.7485889587293406,0.7534722222222222,0.9005924479166666
attention_state,asr,vit,5,1626406676,accuracy,0.6861111111111111,0.6861111111111111,0.6861111111111112,0.7067522402187602,0.6861111111111112,0.853732638888889
attention_state,asr,vit,6,126691620,accuracy,0.5627777777777778,0.5627777777777778,0.5627777777777778,0.5871105765822399,0.5627777777777778,0.7409449074074074
attention_state,asr,vit,7,28155425,accuracy,0.6294444444444445,0.6294444444444445,0.6294444444444444,0.6257079307558605,0.6294444444444444,0.8174358796296296
attention_state,asr,vit,8,149869551,accuracy,0.5422222222222223,0.5422222222222223,0.5422222222222222,0.549196324392293,0.5422222222222222,0.7413625
attention_state,asr,vit,9,2044435244,accuracy,0.7131944444444445,0.7131944444444445,0.7131944444444445,0.7053992168327899,0.7131944444444445,0.8809497974537038
attention_state,asr,vit,10,1786428360,accuracy,0.7041666666666667,0.7041666666666667,0.7041666666666666,0.7016070475017878,0.7041666666666666,0.8584508825231482
attention_state,asr20,eegnet,1,2013945970,accuracy,0.585,0.585,0.585,0.5856370693058609,0.585,0.7611486111111111
attention_state,asr20,eegnet,2,61155527,accuracy,0.6655555555555556,0.6655555555555556,0.6655555555555556,0.6988500808500809,0.6655555555555556,0.8461583333333333
attention_state,asr20,eegnet,3,1072713694,accuracy,0.5694444444444444,0.5694444444444444,0.5694444444444445,0.6091526722331676,0.5694444444444445,0.7660162037037037
attention_state,asr20,eegnet,4,2111243235,accuracy,0.7347222222222223,0.7347222222222223,0.7347222222222222,0.7540365061288646,0.7347222222222222,0.9053913483796295
attention_state,asr20,eegnet,5,1626406676,accuracy,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7396134286105331,0.7388888888888889,0.8879369212962964
