method,primary_mean,primary_std,auc_mean,auc_std
Raw,0.5201180555555556,0.07733258438234873,0.7136885123697917,0.0685030144247169
Filter (1–50 Hz),0.48934895833333336,0.04223506545659975,0.6924853931568287,0.03990148974890918
ICA,0.5103993055555556,0.07223660505489754,0.7038348746744791,0.0708764203462426
ASR (k=5),0.5064427083333334,0.09012623376684906,0.7041137697120949,0.08053829915651535
ASR (k=20),0.5147395833333333,0.08469559456042369,0.7081730289713541,0.07964191138646033
IC-U-Net,0.5229791666666667,0.05551382807935956,0.7215247301793981,0.0551153966047512
