task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr,eegnet,1,2013945970,accuracy,0.785024154589372,0.785024154589372,0.785024154589372,0.78516159714022,0.785024154589372,0.9176599803962753
attention_state,asr,eegnet,2,61155527,accuracy,0.783816425120773,0.783816425120773,0.783816425120773,0.7887309273047953,0.783816425120773,0.9199496341804942
attention_state,asr,eegnet,3,1072713694,accuracy,0.7427536231884058,0.7427536231884058,0.7427536231884058,0.7555453805453806,0.7427536231884058,0.8910614891829448
attention_state,asr,eegnet,4,2111243235,accuracy,0.7409420289855072,0.7409420289855072,0.7409420289855073,0.7580793571436271,0.7409420289855073,0.9041725740390674
attention_state,asr,eegnet,5,1626406676,accuracy,0.7125603864734299,0.7125603864734299,0.71256038647343,0.720601342059824,0.71256038647343,0.8716524889729049
attention_state,asr,eegnet,6,126691620,accuracy,0.7542270531400966,0.7542270531400966,0.7542270531400966,0.7643974568466453,0.7542270531400966,0.9074823435202689
attention_state,asr,eegnet,7,28155425,accuracy,0.7228260869565217,0.7228260869565217,0.7228260869565218,0.7558634854627334,0.7228260869565218,0.8778196763635092
attention_state,asr,eegnet,8,149869551,accuracy,0.7590579710144928,0.7590579710144928,0.7590579710144928,0.7722834196167568,0.7590579710144928,0.9103047547784079
attention_state,asr,eegnet,9,2044435244,accuracy,0.7572463768115942,0.7572463768115942,0.7572463768115942,0.7565999416229126,0.7572463768115942,0.9087141400616118
attention_state,asr,eegnet,10,1786428360,accuracy,0.75,0.75,0.75,0.7530888755808122,0.75,0.8998951988377791
attention_state,asr,lightgbm,1,2013945970,accuracy,0.9039855072463768,0.9039855072463768,0.9039855072463768,0.9038040798223124,0.9039855072463768,0.9820552623748512
attention_state,asr,lightgbm,2,61155527,accuracy,0.907608695652174,0.907608695652174,0.9076086956521738,0.9089386838731746,0.9076086956521738,0.9806982076594553
attention_state,asr,lightgbm,3,1072713694,accuracy,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.8993632245266232,0.8985507246376812,0.9805193455506546
attention_state,asr,lightgbm,4,2111243235,accuracy,0.9003623188405797,0.9003623188405797,0.9003623188405797,0.9003206152810047,0.9003623188405797,0.9786798554225302
attention_state,asr,lightgbm,5,1626406676,accuracy,0.908816425120773,0.908816425120773,0.908816425120773,0.9085262236037499,0.908816425120773,0.9830994451445774
attention_state,asr,lightgbm,6,126691620,accuracy,0.8961352657004831,0.8961352657004831,0.8961352657004831,0.8963516544371002,0.8961352657004831,0.979672075194287
attention_state,asr,lightgbm,7,28155425,accuracy,0.8919082125603864,0.8919082125603864,0.8919082125603864,0.8926836038110241,0.8919082125603864,0.9790074957992019
attention_state,asr,lightgbm,8,149869551,accuracy,0.9057971014492754,0.9057971014492754,0.9057971014492754,0.9061235986235987,0.9057971014492754,0.9815673571728628
attention_state,asr,lightgbm,9,2044435244,accuracy,0.9064009661835749,0.9064009661835749,0.9064009661835749,0.9063744931093985,0.9064009661835749,0.9818162325841909
attention_state,asr,lightgbm,10,1786428360,accuracy,0.8943236714975845,0.8943236714975845,0.8943236714975846,0.8950621717517011,0.8943236714975846,0.9801670911223131
attention_state,asr,logistic_regression,1,2013945970,accuracy,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6227253357244776,0.6231884057971014,0.8015513963278021
attention_state,asr,logistic_regression,2,61155527,accuracy,0.5929951690821256,0.5929951690821256,0.5929951690821256,0.591128593254458,0.5929951690821256,0.7760495978610936
attention_state,asr,logistic_regression,3,1072713694,accuracy,0.5960144927536232,0.5960144927536232,0.5960144927536232,0.5962866195098427,0.5960144927536232,0.7762902685885317
attention_state,asr,logistic_regression,4,2111243235,accuracy,0.6346618357487923,0.6346618357487923,0.6346618357487923,0.6335878588631568,0.6346618357487923,0.8090291452250927
attention_state,asr,logistic_regression,5,1626406676,accuracy,0.6099033816425121,0.6099033816425121,0.609903381642512,0.6092603786336518,0.609903381642512,0.7872260182559686
attention_state,asr,logistic_regression,6,126691620,accuracy,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6237786801230399,0.6231884057971014,0.7974394822516278
attention_state,asr,logistic_regression,7,28155425,accuracy,0.626207729468599,0.626207729468599,0.626207729468599,0.6273630009471091,0.626207729468599,0.79742143194707
attention_state,asr,logistic_regression,8,149869551,accuracy,0.6243961352657005,0.6243961352657005,0.6243961352657005,0.6247060298157573,0.6243961352657005,0.7924813917769375
attention_state,asr,logistic_regression,9,2044435244,accuracy,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.62063003964375,0.6231884057971014,0.791738594395435
attention_state,asr,logistic_regression,10,1786428360,accuracy,0.6286231884057971,0.6286231884057971,0.6286231884057971,0.6314872600167716,0.6286231884057971,0.7983217592592592
attention_state,asr,mlp,1,2013945970,accuracy,0.8580917874396136,0.8580917874396136,0.8580917874396136,0.8575321172973541,0.8580917874396136,0.9589607181614507
attention_state,asr,mlp,2,61155527,accuracy,0.8514492753623188,0.8514492753623188,0.8514492753623188,0.8508089994898439,0.8514492753623188,0.9542205987887699
attention_state,asr,mlp,3,1072713694,accuracy,0.8448067632850241,0.8448067632850241,0.8448067632850241,0.8449615000250209,0.8448067632850241,0.9499125927676259
attention_state,asr,mlp,4,2111243235,accuracy,0.8435990338164251,0.8435990338164251,0.8435990338164251,0.8443962564758035,0.8435990338164251,0.9530990185010152
