task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
attention_state,asr,eegnet,0.7508454106280193,0.02188657726165069,0.9008712280333263,0.015274974868575448,0.7508454106280193,0.7508454106280193,0.7610351783323707,0.7508454106280193
attention_state,asr,lightgbm,0.9013888888888889,0.005671508386199814,0.9807282368024925,0.0013380283512680019,0.9013888888888889,0.9013888888888889,0.9017548348839688,0.9013888888888889
attention_state,asr,logistic_regression,0.6182367149758454,0.013240483084384502,0.7927549085888819,0.009993841017474409,0.6182367149758454,0.6182367149758454,0.6180953796532015,0.6182367149758454
attention_state,asr,mlp,0.847463768115942,0.005640238854509985,0.9531972285671777,0.0033347032311463343,0.847463768115942,0.847463768115942,0.8476008023154389,0.847463768115942
attention_state,asr,mobilenet,0.6630434782608695,0.03754659796306716,0.8662768347861093,0.01875337593448058,0.6630434782608695,0.6630434782608695,0.719122229314997,0.6630434782608695
attention_state,asr,random_forest,0.8666666666666666,0.005539780164821105,0.9638230052772527,0.0025750348708584387,0.8666666666666666,0.8666666666666666,0.867418370275218,0.8666666666666666
attention_state,asr,svm,0.6216183574879227,0.015835078963530074,0.7958638274084576,0.01008248725308501,0.6216183574879227,0.6216183574879227,0.6208277310383717,0.6216183574879227
attention_state,asr,vit,0.7672705314009661,0.015070508822803802,0.915360809178744,0.009087157736734498,0.7672705314009661,0.7672705314009661,0.7677068471199069,0.7672705314009661
attention_state,bandpass,eegnet,0.6820652173913044,0.01725669609001259,0.8543587109675839,0.015389769645249126,0.6820652173913044,0.6820652173913044,0.6842975856838388,0.6820652173913044
attention_state,bandpass,lightgbm,0.8837560386473431,0.005509748668748374,0.9725557152734019,0.0023868309636240815,0.8837560386473431,0.8837560386473429,0.8837714577604151,0.8837560386473429
attention_state,bandpass,logistic_regression,0.6481280193236715,0.011206694781907873,0.8168333584943639,0.006369095639193523,0.6481280193236715,0.6481280193236715,0.64846907099312,0.6481280193236715
