method,primary_mean,primary_std,auc_mean,auc_std
Raw,0.6867392636416517,0.008622924534896723,0.760476049357916,0.023510950114858733
Filter (1–50 Hz),0.6869819400051586,0.012936950035643283,0.7702552619002903,0.020839262187786877
ICA,0.642914621110289,0.014220057700323545,0.7101080440357239,0.023825350594686035
ASR (k=5),0.6555738200815944,0.040317631454018635,0.7151522584192372,0.04492369130322668
ASR (k=20),0.6703361213996565,0.015222030884022936,0.7371083208881604,0.03237108917753195
IC-U-Net,0.6640104798815046,0.017968526699235012,0.7561397082625579,0.016790847176466697
